concept,definition,labels,sources
Conjunto,Una colección de objetos considerada como una entidad.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Elemento,Un objeto que forma parte de un conjunto.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Subconjunto,Un conjunto que contiene solo elementos que también están en otro conjunto.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto vacío,Un conjunto que no tiene elementos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Unión,Operación que combina los elementos de dos conjuntos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Intersección,Operación que devuelve los elementos comunes a dos conjuntos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Diferencia,Operación que devuelve los elementos que están en un conjunto pero no en otro.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto Universal,Conjunto que contiene todos los elementos bajo consideración.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Complemento,"Conjunto de elementos que no están en un conjunto dado, pero están en el conjunto universal.",Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto finito,Conjunto que tiene un número contable de elementos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto infinito,Conjunto que tiene un número no contable de elementos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto potencia,Conjunto de todos los subconjuntos de un conjunto.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Relación,Conjunto de pares ordenados que relaciona elementos de dos conjuntos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Función,Relación especial en la que cada elemento de un conjunto está relacionado con exactamente un elemento de otro conjunto.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Cardinalidad,Número de elementos en un conjunto.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjuntos iguales,Conjuntos que contienen exactamente los mismos elementos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjuntos disjuntos,Conjuntos que no tienen elementos en común.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Producto cartesiano,Conjunto de todos los pares ordenados posibles formados tomando el primer elemento del primer conjunto y el segundo elemento del segundo conjunto.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Principio de inclusión exclusión,Fórmula para contar el número de elementos en la unión de dos conjuntos.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Principio de correspondencia uno a uno,Relación que asocia cada elemento de un conjunto con exactamente un elemento de otro conjunto y viceversa.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto acotado,Conjunto que tiene límites superiores e inferiores.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto no acotado,Conjunto que no tiene límites superiores o inferiores.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto cerrado,Conjunto que contiene todos sus puntos límite.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto abierto,Conjunto que no contiene ninguno de sus puntos límite.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Conjunto denso,Conjunto en el que entre cualquier par de elementos diferentes hay otro elemento del conjunto.,Teoría de Conjuntos,"[Lipschutz, S. (1973). Teoría de conjuntos y temas afines. McGraw Hill. (Recomendado por UDG)] "
Proposición,"Declaración que puede ser verdadera o falsa, pero no ambas.",Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Conectivo Lógico,Símbolo o palabra utilizada para conectar dos o más proposiciones.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Negación,Operación lógica que invierte el valor de verdad de una proposición.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Conjunción,Operación lógica que produce un valor verdadero solo si ambas proposiciones son verdaderas.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Disyunción,Operación lógica que produce un valor verdadero si al menos una de las proposiciones es verdadera.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Implicación,Conectivo lógico que representa una relación de si... entonces... entre dos proposiciones.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Bicondicional,Conectivo lógico que representa una relación de si y solo si entre dos proposiciones.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Cuantificador,Símbolo utilizado para representar una cantidad o un conjunto específico de elementos en una proposición.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Variable,Símbolo que puede tomar diferentes valores dentro de una proposición.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Tautología,"Proposición que siempre es verdadera, sin importar los valores de verdad de sus componentes.",Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Contradicción,"Proposición que siempre es falsa, sin importar los valores de verdad de sus componentes.",Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Contingencia,Proposición que puede ser verdadera o falsa dependiendo de los valores de verdad de sus componentes.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Inferencia,Proceso de derivar una conclusión lógica a partir de una o más proposiciones previas.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Axioma,"Proposición que se acepta sin necesidad de demostración, y que sirve como base para deducir otras proposiciones.",Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Teorema,Proposición que se puede demostrar a partir de axiomas o de otras proposiciones previamente demostradas.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Lema,Proposición que se demuestra con el propósito de ser utilizada en la demostración de otro teorema.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Corolario,Proposición que sigue directamente de un teorema que ha sido demostrado.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Principio de Inducción Matemática,"Método de demostración que se basa en demostrar un caso base y luego demostrar que, si se cumple para un caso, se cumple para el siguiente.",Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Modus Ponens,Regla de inferencia que permite deducir una proposición a partir de una implicación y la proposición antecedente de esa implicación.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Modus Tollens,Regla de inferencia que permite deducir la negación de la proposición antecedente de una implicación a partir de la negación de su consecuente.,Lógica,"[Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Regla de Sustitución,Regla que permite reemplazar una proposición por otra que es lógicamente equivalente.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
Silogismo,Forma de razonamiento deductivo compuesta por dos premisas y una conclusión.,Lógica,"[Copy, I. Introducción a la lógica simbólica. CECSA. (Recomendado por UDG), Suppes, P., & Hill, S. (2008). Introducción a la lógica matemática. Reverté. (Recomendado por UDG)] "
